word,replacement,category,affix_type,number
ballboy,ball person,boy,suffix,SG
ballboys,ball people,boy,suffix,PL
batboy,bat person,boy,suffix,SG
batboys,bat people,boy,suffix,PL
bellboy,bellhop,boy,suffix,SG
bellboys,bellhops,boy,suffix,PL
boyband,band,boy,prefix,SG
boybands,bands,boy,prefix,PL
boyfriend,partner,boy,prefix,SG
boyfriends,partners,boy,prefix,PL
boyish,childish,boy,prefix,SG
boyishly,childishly,boy,prefix,SG
boyism,childism,boy,prefix,SG
boyisms,childisms,boy,prefix,PL
boyscout,scout,boy,prefix,SG
boyscouts,scouts,boy,prefix,PL
boytoy,toy,boy,prefix,SG
boytoys,toys,boy,prefix,PL
busboy,restaurant attendant,boy,suffix,SG
busboys,restaurant attendants,boy,suffix,PL
callboy,sex worker,boy,suffix,SG
callboys,sex workers,boy,suffix,PL
copyboy,junior newspaper worker,boy,suffix,SG
copyboys,junior newspaper workers,boy,suffix,PL
cowboy,cow herder,boy,suffix,SG
cowboys,cow herders,boy,suffix,PL
doughboy,foot soldier,boy,suffix,SG
doughboys,foot soldiers,boy,suffix,PL
fanboy,fan,boy,suffix,SG
fanboys,fans,boy,suffix,PL
farmboy,farm worker,boy,suffix,SG
farmboys,farm workers,boy,suffix,PL
femboy,effeminate person,boy,suffix,SG
femboys,effeminate people,boy,suffix,PL
fisherboy,young fisher,boy,suffix,SG
fisherboys,young fishers,boy,suffix,PL
fratboy,fraternity member,boy,suffix,SG
fratboys,fraternity members,boy,suffix,PL
headboy,student leader,boy,suffix,SG
headboys,student leaders,boy,suffix,PL
homeboy,fellow member,boy,suffix,SG
homeboys,fellow members,boy,suffix,PL
houseboy,domestic worker,boy,suffix,SG
houseboys,domestic workers,boy,suffix,PL
ladyboy,genderqueer person,boy,suffix,SG
ladyboys,genderqueer people,boy,suffix,PL
nancyboy,nancy,boy,suffix,SG
nancyboys,nancies,boy,suffix,PL
newsboy,newspaper delivery person,boy,suffix,SG
newsboys,newspaper delivery people,boy,suffix,PL
paperboy,newspaper delivery person,boy,suffix,SG
paperboys,newspaper delivery people,boy,suffix,PL
playboy,player,boy,suffix,SG
playboys,players,boy,suffix,PL
plowboy,plower,boy,suffix,SG
plowboys,plowers,boy,suffix,PL
tomboy,boisterous child,boy,suffix,SG
tomboys,boisterous children,boy,suffix,PL
toyboy,toy,boy,suffix,SG
toyboys,toys,boy,suffix,PL
babygirl,baby,girl,suffix,SG
babygirls,babies,girl,suffix,PL
ballgirl,ball person,girl,suffix,SG
ballgirls,ball people,girl,suffix,PL
bargirl,bartender,girl,suffix,SG
bargirls,bartenders,girl,suffix,PL
callgirl,sex worker,girl,suffix,SG
callgirls,sex workers,girl,suffix,PL
cavegirl,caveperson,girl,suffix,SG
cavegirls,cavepeople,girl,suffix,PL
cowgirl,cow herder,girl,suffix,SG
cowgirls,cow herders,girl,suffix,PL
fangirl,fan,girl,suffix,SG
fangirls,fans,girl,suffix,PL
farmgirl,farm worker,girl,suffix,SG
farmgirls,farm workers,girl,suffix,PL
girldom,feminine sphere,girl,prefix,SG
girldoms,feminine spheres,girl,prefix,PL
girlfag,woman attracted to gay men,girl,prefix,SG
girlfags,women attracted to gay men,girl,prefix,PL
girlfight,fight,girl,prefix,SG
girlfights,fights,girl,prefix,PL
girlfriend,partner,girl,prefix,SG
girlfriends,partners,girl,prefix,PL
girlification,feminization,girl,prefix,SG
girlifications,feminizations,girl,prefix,PL
girliness,femininity,girl,prefix,SG
girlinesses,femininities,girl,prefix,PL
girlish,feminine,girl,prefix,SG
girlishly,childishly,girl,prefix,SG
girllove,love,girl,prefix,SG
girlloves,loves,girl,prefix,PL
girlpower,power,girl,prefix,SG
girlpowers,powers,girl,prefix,PL
papergirl,newspaper delivery person,girl,suffix,SG
papergirls,newspaper delivery people,girl,suffix,PL
playgirl,player,girl,suffix,SG
playgirls,players,girl,suffix,PL
showgirl,performer,girl,suffix,SG
showgirls,performers,girl,suffix,PL
slavegirl,slave,girl,suffix,SG
slavegirls,slaves,girl,suffix,PL
snowgirl,snowperson,girl,suffix,SG
snowgirls,snowpeople,girl,suffix,PL
tomgirl,timid child,girl,suffix,SG
tomgirls,timid children,girl,suffix,PL
adman,advertiser,man,suffix,SG
admen,advertisers,man,suffix,PL
almsman,medical social worker,man,suffix,SG
almsmen,medical social workers,man,suffix,PL
ambulanceman,emergency medical technician,man,suffix,SG
ambulancemen,emergency medical technicians,man,suffix,PL
anchorman,anchorperson,man,suffix,SG
anchormen,anchorpeople,man,suffix,PL
artilleryman,cannoneer,man,suffix,SG
artillerymen,cannoneers,man,suffix,PL
assemblyman,assembly member,man,suffix,SG
assemblymen,assembly members,man,suffix,PL
assman,assperson,man,suffix,SG
assmen,asspeople,man,suffix,PL
backwoodsman,explorer,man,suffix,SG
backwoodsmen,explorers,man,suffix,PL
bagman,travelling salesperson,man,suffix,SG
bagmen,travelling salespeople,man,suffix,PL
bargeman,barge operator,man,suffix,SG
bargemen,barge operators,man,suffix,PL
barman,bartender,man,suffix,SG
barmen,bartenders,man,suffix,PL
baseman,baseperson,man,suffix,SG
basemen,basepeople,man,suffix,PL
batsman,batter,man,suffix,SG
batsmen,batters,man,suffix,PL
bellman,bellhop,man,suffix,SG
bellmen,bellhops,man,suffix,PL
binman,garbage collector,man,suffix,SG
binmen,garbage collectors,man,suffix,PL
bluesman,bluesperson,man,suffix,SG
bluesmen,bluespeople,man,suffix,PL
boatman,boater,man,suffix,SG
boatmen,boaters,man,suffix,PL
bogeyman,monster,man,suffix,SG
bogeymen,monsters,man,suffix,PL
bondman,slave,man,suffix,SG
bondmen,slaves,man,suffix,PL
bondsman,slave,man,suffix,SG
bondsmen,slaves,man,suffix,PL
boogieman,monster,man,suffix,SG
boogiemen,monsters,man,suffix,PL
bowman,archer,man,suffix,SG
bowmen,archers,man,suffix,PL
bushman,indigenous person,man,suffix,SG
bushmen,indigenous people,man,suffix,PL
businessman,businessperson,man,suffix,SG
businessmen,businesspeople,man,suffix,PL
busman,bus driver,man,suffix,SG
busmen,bus drivers,man,suffix,PL
cabman,cabdriver,man,suffix,SG
cabmen,cabdrivers,man,suffix,PL
cameraman,cameraperson,man,suffix,SG
cameramen,camerapeople,man,suffix,PL
cavalryman,trooper,man,suffix,SG
cavalrymen,troopers,man,suffix,PL
caveman,caveperson,man,suffix,SG
cavemen,cavepeople,man,suffix,PL
centerman,center,man,suffix,SG
centermen,centers,man,suffix,PL
centreman,centre,man,suffix,SG
centremen,centres,man,suffix,PL
chessman,chess figure,man,suffix,SG
chessmen,chess figures,man,suffix,PL
churchman,cleric,man,suffix,SG
churchmen,clerics,man,suffix,PL
clansman,clan member,man,suffix,SG
clansmen,clan members,man,suffix,PL
classman,classmate,man,suffix,SG
classmen,classmates,man,suffix,PL
coachman,coach driver,man,suffix,SG
coachmen,coach drivers,man,suffix,PL
cocksman,sexually talented person,man,suffix,SG
cocksmen,sexually talented people,man,suffix,PL
con-man,con artist,man,suffix,SG
con-men,con artists,man,suffix,PL
congressman,congressperson,man,suffix,SG
congressmen,congresspeople,man,suffix,PL
conman,con artist,man,suffix,SG
conmen,con artists,man,suffix,PL
cornerman,second,man,suffix,SG
cornermen,seconds,man,suffix,PL
cornishman,Cornish person,man,suffix,SG
cornishmen,Cornish people,man,suffix,PL
corpsman,medical assistant,man,suffix,SG
corpsmen,medical assistants,man,suffix,PL
counterman,counterperson,man,suffix,SG
countermen,counterpeople,man,suffix,PL
craftsman,craftsperson,man,suffix,SG
craftsmen,craftspeople,man,suffix,PL
crewman,crew member,man,suffix,SG
crewmen,crew members,man,suffix,PL
crossbowman,arbalist,man,suffix,SG
crossbowmen,arbalists,man,suffix,PL
cutman,medical attendant,man,suffix,SG
cutmen,medical attendants,man,suffix,PL
dairyman,dairy worker,man,suffix,SG
dairymen,dairy workers,man,suffix,PL
deadman,corpse,man,suffix,SG
deadmen,corpses,man,suffix,PL
defenceman,defender,man,suffix,SG
defencemen,defenders,man,suffix,PL
defenseman,defender,man,suffix,SG
defensemen,defenders,man,suffix,PL
deskman,desk sergeant,man,suffix,SG
deskmen,desk sergeants,man,suffix,PL
discman,portable CD player,man,suffix,SG
discmen,portable CD players,man,suffix,PL
draftsman,draftsperson,man,suffix,SG
draftsmen,draftspeople,man,suffix,PL
draughtsman,draughtsperson,man,suffix,SG
draughtsmen,draughtspeople,man,suffix,PL
dutchman,netherlander,man,suffix,SG
dutchmen,netherlanders,man,suffix,PL
everyman,ordinary person,man,suffix,SG
everymen,ordinary people,man,suffix,PL
expressman,expressperson,man,suffix,SG
expressmen,expresspeople,man,suffix,PL
fireman,firefighter,man,suffix,SG
firemen,firefighters,man,suffix,PL
fisherman,fisher,man,suffix,SG
fishermen,fishers,man,suffix,PL
flagman,traffic guard,man,suffix,SG
flagmen,traffic guards,man,suffix,PL
footman,servant,man,suffix,SG
footmen,servants,man,suffix,PL
foreman,foreperson,man,suffix,SG
foremen,forepeople,man,suffix,PL
freedman,freedperson,man,suffix,SG
freedmen,freedpeople,man,suffix,PL
freeman,freeperson,man,suffix,SG
freemen,freepeople,man,suffix,PL
frenchman,French person,man,suffix,SG
frenchmen,French people,man,suffix,PL
freshman,first-year student,man,suffix,SG
freshmen,first-year students,man,suffix,PL
frogman,diver,man,suffix,SG
frogmen,divers,man,suffix,PL
frontiersman,explorer,man,suffix,SG
frontiersmen,explorers,man,suffix,PL
frontman,frontperson,man,suffix,SG
frontmen,frontpeople,man,suffix,PL
garageman,mechanic,man,suffix,SG
garagemen,mechanics,man,suffix,PL
gateman,gatekeeper,man,suffix,SG
gatemen,gatekeepers,man,suffix,PL
gentleman,refined person,man,suffix,SG
gentlemans,refined people,man,suffix,PL
gleeman,minstrel,man,suffix,SG
